Epoch 0 | Train Loss: 2.187 | Train Acc: 21.454%
Epoch 1 | Train Loss: 2.127 | Train Acc: 24.375%
Epoch 2 | Train Loss: 2.099 | Train Acc: 25.655%
Epoch 3 | Train Loss: 2.080 | Train Acc: 26.737%
Epoch 4 | Train Loss: 2.042 | Train Acc: 28.558%
Epoch 5 | Train Loss: 2.009 | Train Acc: 30.000%
Epoch 6 | Train Loss: 1.986 | Train Acc: 31.158%
Epoch 7 | Train Loss: 1.958 | Train Acc: 32.909%
Epoch 8 | Train Loss: 1.954 | Train Acc: 33.139%
Epoch 9 | Train Loss: 1.937 | Train Acc: 33.840%
Epoch 10 | Train Loss: 1.912 | Train Acc: 35.439%
Epoch 11 | Train Loss: 1.895 | Train Acc: 36.052%
Epoch 12 | Train Loss: 1.872 | Train Acc: 37.518%
Epoch 13 | Train Loss: 1.847 | Train Acc: 38.566%
Epoch 14 | Train Loss: 1.855 | Train Acc: 38.385%
Epoch 15 | Train Loss: 1.835 | Train Acc: 39.261%
Epoch 16 | Train Loss: 1.801 | Train Acc: 40.903%
Epoch 17 | Train Loss: 1.780 | Train Acc: 42.001%
Epoch 18 | Train Loss: 1.769 | Train Acc: 42.704%
Epoch 19 | Train Loss: 1.740 | Train Acc: 43.940%
Epoch 20 | Train Loss: 1.734 | Train Acc: 44.511%
Epoch 21 | Train Loss: 1.720 | Train Acc: 45.278%
Epoch 22 | Train Loss: 1.718 | Train Acc: 45.186%
Epoch 23 | Train Loss: 1.717 | Train Acc: 45.579%
Epoch 24 | Train Loss: 1.695 | Train Acc: 46.456%
Epoch 25 | Train Loss: 1.674 | Train Acc: 47.652%
Epoch 26 | Train Loss: 1.681 | Train Acc: 47.059%
Epoch 27 | Train Loss: 1.658 | Train Acc: 48.105%
Epoch 28 | Train Loss: 1.628 | Train Acc: 49.710%
Epoch 29 | Train Loss: 1.636 | Train Acc: 49.201%
Epoch 30 | Train Loss: 1.658 | Train Acc: 48.478%
Epoch 31 | Train Loss: 1.600 | Train Acc: 51.044%
Epoch 32 | Train Loss: 1.622 | Train Acc: 49.888%
Epoch 33 | Train Loss: 1.596 | Train Acc: 51.292%
Epoch 34 | Train Loss: 1.578 | Train Acc: 52.037%
Epoch 35 | Train Loss: 1.569 | Train Acc: 52.418%
Epoch 36 | Train Loss: 1.552 | Train Acc: 53.466%
Epoch 37 | Train Loss: 1.543 | Train Acc: 53.528%
Epoch 38 | Train Loss: 1.557 | Train Acc: 52.993%
Epoch 39 | Train Loss: 1.549 | Train Acc: 53.770%
Epoch 40 | Train Loss: 1.531 | Train Acc: 54.167%
Epoch 41 | Train Loss: 1.533 | Train Acc: 54.659%
Epoch 42 | Train Loss: 1.538 | Train Acc: 54.249%
Epoch 43 | Train Loss: 1.498 | Train Acc: 55.891%
Epoch 44 | Train Loss: 1.506 | Train Acc: 55.785%
Epoch 45 | Train Loss: 1.487 | Train Acc: 56.408%
Epoch 46 | Train Loss: 1.484 | Train Acc: 56.468%
Epoch 47 | Train Loss: 1.489 | Train Acc: 56.320%
Epoch 48 | Train Loss: 1.462 | Train Acc: 57.660%
Epoch 49 | Train Loss: 1.495 | Train Acc: 56.350%
Epoch 50 | Train Loss: 1.452 | Train Acc: 58.087%
Epoch 51 | Train Loss: 1.474 | Train Acc: 57.406%
Epoch 52 | Train Loss: 1.464 | Train Acc: 57.668%
Epoch 53 | Train Loss: 1.458 | Train Acc: 57.728%
Epoch 54 | Train Loss: 1.453 | Train Acc: 57.987%
Epoch 55 | Train Loss: 1.452 | Train Acc: 58.283%
Epoch 56 | Train Loss: 1.447 | Train Acc: 58.614%
Epoch 57 | Train Loss: 1.422 | Train Acc: 59.603%
Epoch 58 | Train Loss: 1.403 | Train Acc: 60.577%
Epoch 59 | Train Loss: 1.420 | Train Acc: 59.647%
Epoch 60 | Train Loss: 1.420 | Train Acc: 59.822%
Epoch 61 | Train Loss: 1.445 | Train Acc: 58.536%
Epoch 62 | Train Loss: 1.404 | Train Acc: 60.521%
Epoch 63 | Train Loss: 1.393 | Train Acc: 61.000%
Epoch 64 | Train Loss: 1.410 | Train Acc: 60.048%
Epoch 65 | Train Loss: 1.398 | Train Acc: 60.921%
Epoch 66 | Train Loss: 1.393 | Train Acc: 60.787%
Epoch 67 | Train Loss: 1.376 | Train Acc: 61.689%
Epoch 68 | Train Loss: 1.375 | Train Acc: 61.645%
Epoch 69 | Train Loss: 1.395 | Train Acc: 60.929%
Epoch 70 | Train Loss: 1.382 | Train Acc: 61.434%
Epoch 71 | Train Loss: 1.385 | Train Acc: 61.506%
Epoch 72 | Train Loss: 1.372 | Train Acc: 61.885%
Epoch 73 | Train Loss: 1.365 | Train Acc: 62.358%
Epoch 74 | Train Loss: 1.370 | Train Acc: 62.053%
Epoch 75 | Train Loss: 1.364 | Train Acc: 62.157%
Epoch 76 | Train Loss: 1.345 | Train Acc: 63.147%
Epoch 77 | Train Loss: 1.345 | Train Acc: 63.139%
Epoch 78 | Train Loss: 1.363 | Train Acc: 62.370%
Epoch 79 | Train Loss: 1.385 | Train Acc: 61.522%
Epoch 80 | Train Loss: 1.373 | Train Acc: 61.975%
Epoch 81 | Train Loss: 1.326 | Train Acc: 64.044%
Epoch 82 | Train Loss: 1.345 | Train Acc: 63.221%
Epoch 83 | Train Loss: 1.365 | Train Acc: 62.484%
Epoch 84 | Train Loss: 1.347 | Train Acc: 63.143%
Epoch 85 | Train Loss: 1.328 | Train Acc: 63.970%
Epoch 86 | Train Loss: 1.299 | Train Acc: 65.216%
Epoch 87 | Train Loss: 1.304 | Train Acc: 64.994%
Epoch 88 | Train Loss: 1.368 | Train Acc: 62.384%
Epoch 89 | Train Loss: 1.343 | Train Acc: 63.474%
Epoch 90 | Train Loss: 1.328 | Train Acc: 63.844%
Epoch 91 | Train Loss: 1.324 | Train Acc: 64.113%
Epoch 92 | Train Loss: 1.306 | Train Acc: 65.096%
Epoch 93 | Train Loss: 1.299 | Train Acc: 65.371%
Epoch 94 | Train Loss: 1.328 | Train Acc: 64.209%
Epoch 95 | Train Loss: 1.308 | Train Acc: 65.004%
Epoch 96 | Train Loss: 1.280 | Train Acc: 65.998%
Epoch 97 | Train Loss: 1.293 | Train Acc: 65.455%
Epoch 98 | Train Loss: 1.254 | Train Acc: 67.308%
Epoch 99 | Train Loss: 1.281 | Train Acc: 65.855%
Epoch 100 | Train Loss: 1.271 | Train Acc: 66.695%
Epoch 101 | Train Loss: 1.308 | Train Acc: 64.964%
Epoch 102 | Train Loss: 1.257 | Train Acc: 67.298%
Epoch 103 | Train Loss: 1.258 | Train Acc: 66.817%
Epoch 104 | Train Loss: 1.270 | Train Acc: 66.542%
Epoch 105 | Train Loss: 1.293 | Train Acc: 65.653%
Epoch 106 | Train Loss: 1.257 | Train Acc: 67.043%
Epoch 107 | Train Loss: 1.267 | Train Acc: 66.729%
Epoch 108 | Train Loss: 1.241 | Train Acc: 67.839%
Epoch 109 | Train Loss: 1.246 | Train Acc: 67.542%
Epoch 110 | Train Loss: 1.253 | Train Acc: 67.346%
Epoch 111 | Train Loss: 1.277 | Train Acc: 66.478%
Epoch 112 | Train Loss: 1.227 | Train Acc: 68.672%
Epoch 113 | Train Loss: 1.293 | Train Acc: 65.841%
Epoch 114 | Train Loss: 1.242 | Train Acc: 67.869%
Epoch 115 | Train Loss: 1.232 | Train Acc: 68.031%
Epoch 116 | Train Loss: 1.256 | Train Acc: 67.121%
Epoch 117 | Train Loss: 1.243 | Train Acc: 67.901%
Epoch 118 | Train Loss: 1.275 | Train Acc: 66.482%
Epoch 119 | Train Loss: 1.249 | Train Acc: 67.400%
Epoch 120 | Train Loss: 1.268 | Train Acc: 66.897%
Epoch 121 | Train Loss: 1.233 | Train Acc: 68.121%
Epoch 122 | Train Loss: 1.214 | Train Acc: 69.065%
Epoch 123 | Train Loss: 1.218 | Train Acc: 69.042%
Epoch 124 | Train Loss: 1.244 | Train Acc: 67.955%
Epoch 125 | Train Loss: 1.249 | Train Acc: 67.808%
Epoch 126 | Train Loss: 1.227 | Train Acc: 68.704%
Epoch 127 | Train Loss: 1.235 | Train Acc: 68.347%
Epoch 128 | Train Loss: 1.232 | Train Acc: 68.227%
Epoch 129 | Train Loss: 1.226 | Train Acc: 68.662%
Epoch 130 | Train Loss: 1.205 | Train Acc: 69.599%
Epoch 131 | Train Loss: 1.187 | Train Acc: 70.375%
Epoch 132 | Train Loss: 1.213 | Train Acc: 69.227%
Epoch 133 | Train Loss: 1.232 | Train Acc: 68.329%
Epoch 134 | Train Loss: 1.210 | Train Acc: 69.369%
Epoch 135 | Train Loss: 1.193 | Train Acc: 70.232%
Epoch 136 | Train Loss: 1.195 | Train Acc: 70.148%
Epoch 137 | Train Loss: 1.203 | Train Acc: 69.667%
Epoch 138 | Train Loss: 1.232 | Train Acc: 68.399%
Epoch 139 | Train Loss: 1.209 | Train Acc: 69.417%
Epoch 140 | Train Loss: 1.209 | Train Acc: 69.481%
Epoch 141 | Train Loss: 1.185 | Train Acc: 70.397%
Epoch 142 | Train Loss: 1.201 | Train Acc: 69.792%
Epoch 143 | Train Loss: 1.181 | Train Acc: 70.266%
Epoch 144 | Train Loss: 1.195 | Train Acc: 70.036%
Epoch 145 | Train Loss: 1.197 | Train Acc: 70.044%
Epoch 146 | Train Loss: 1.182 | Train Acc: 70.693%
Epoch 147 | Train Loss: 1.166 | Train Acc: 71.182%
Epoch 148 | Train Loss: 1.181 | Train Acc: 70.829%
Epoch 149 | Train Loss: 1.163 | Train Acc: 71.308%
Epoch 150 | Train Loss: 1.168 | Train Acc: 71.018%
Epoch 151 | Train Loss: 1.165 | Train Acc: 71.174%
Epoch 152 | Train Loss: 1.192 | Train Acc: 70.172%
Epoch 153 | Train Loss: 1.174 | Train Acc: 70.913%
Epoch 154 | Train Loss: 1.176 | Train Acc: 70.673%
Epoch 155 | Train Loss: 1.159 | Train Acc: 71.649%
Epoch 156 | Train Loss: 1.135 | Train Acc: 72.708%
Epoch 157 | Train Loss: 1.171 | Train Acc: 71.000%
Epoch 158 | Train Loss: 1.157 | Train Acc: 71.903%
Epoch 159 | Train Loss: 1.137 | Train Acc: 72.476%
Epoch 160 | Train Loss: 1.155 | Train Acc: 71.767%
Epoch 161 | Train Loss: 1.155 | Train Acc: 71.795%
Epoch 162 | Train Loss: 1.172 | Train Acc: 70.982%
Epoch 163 | Train Loss: 1.163 | Train Acc: 71.601%
Epoch 164 | Train Loss: 1.164 | Train Acc: 71.310%
Epoch 165 | Train Loss: 1.143 | Train Acc: 72.244%
Epoch 166 | Train Loss: 1.117 | Train Acc: 73.337%
Epoch 167 | Train Loss: 1.135 | Train Acc: 72.835%
Epoch 168 | Train Loss: 1.148 | Train Acc: 72.119%
Epoch 169 | Train Loss: 1.122 | Train Acc: 73.165%
Epoch 170 | Train Loss: 1.133 | Train Acc: 72.674%
Epoch 171 | Train Loss: 1.122 | Train Acc: 73.263%
Epoch 172 | Train Loss: 1.114 | Train Acc: 73.850%
Epoch 173 | Train Loss: 1.143 | Train Acc: 72.376%
Epoch 174 | Train Loss: 1.093 | Train Acc: 74.451%
Epoch 175 | Train Loss: 1.083 | Train Acc: 74.902%
Epoch 176 | Train Loss: 1.120 | Train Acc: 73.444%
Epoch 177 | Train Loss: 1.135 | Train Acc: 72.760%
Epoch 178 | Train Loss: 1.154 | Train Acc: 71.981%
Epoch 179 | Train Loss: 1.095 | Train Acc: 74.822%
Epoch 180 | Train Loss: 1.092 | Train Acc: 74.363%
Epoch 181 | Train Loss: 1.122 | Train Acc: 73.417%
Epoch 182 | Train Loss: 1.125 | Train Acc: 73.267%
Epoch 183 | Train Loss: 1.161 | Train Acc: 71.569%
Epoch 184 | Train Loss: 1.090 | Train Acc: 74.489%
Epoch 185 | Train Loss: 1.112 | Train Acc: 73.834%
Epoch 186 | Train Loss: 1.107 | Train Acc: 74.109%
Epoch 187 | Train Loss: 1.133 | Train Acc: 72.770%
Epoch 188 | Train Loss: 1.097 | Train Acc: 74.439%
Epoch 189 | Train Loss: 1.089 | Train Acc: 74.706%
Epoch 190 | Train Loss: 1.108 | Train Acc: 73.820%
Epoch 191 | Train Loss: 1.077 | Train Acc: 75.349%
Epoch 192 | Train Loss: 1.114 | Train Acc: 73.868%
Epoch 193 | Train Loss: 1.091 | Train Acc: 74.589%
Epoch 194 | Train Loss: 1.066 | Train Acc: 75.695%
Epoch 195 | Train Loss: 1.089 | Train Acc: 74.698%
Epoch 196 | Train Loss: 1.054 | Train Acc: 76.248%
Epoch 197 | Train Loss: 1.111 | Train Acc: 73.894%
Epoch 198 | Train Loss: 1.079 | Train Acc: 75.204%
Epoch 199 | Train Loss: 1.071 | Train Acc: 75.429%
Epoch 200 | Train Loss: 1.092 | Train Acc: 74.679%
Epoch 201 | Train Loss: 1.069 | Train Acc: 75.701%
Epoch 202 | Train Loss: 1.056 | Train Acc: 76.122%
Epoch 203 | Train Loss: 1.083 | Train Acc: 75.056%
Epoch 204 | Train Loss: 1.081 | Train Acc: 75.190%
Epoch 205 | Train Loss: 1.070 | Train Acc: 75.485%
Epoch 206 | Train Loss: 1.052 | Train Acc: 76.128%
Epoch 207 | Train Loss: 1.070 | Train Acc: 75.699%
Epoch 208 | Train Loss: 1.050 | Train Acc: 76.466%
Epoch 209 | Train Loss: 1.072 | Train Acc: 75.433%
Epoch 210 | Train Loss: 1.089 | Train Acc: 74.920%
Epoch 211 | Train Loss: 1.056 | Train Acc: 76.044%
Epoch 212 | Train Loss: 1.053 | Train Acc: 76.356%
Epoch 213 | Train Loss: 1.047 | Train Acc: 76.607%
Epoch 214 | Train Loss: 1.044 | Train Acc: 76.711%
Epoch 215 | Train Loss: 1.019 | Train Acc: 77.550%
Epoch 216 | Train Loss: 1.107 | Train Acc: 74.189%
Epoch 217 | Train Loss: 1.047 | Train Acc: 76.609%
Epoch 218 | Train Loss: 1.049 | Train Acc: 76.587%
Epoch 219 | Train Loss: 1.065 | Train Acc: 75.729%
Epoch 220 | Train Loss: 1.093 | Train Acc: 74.579%
Epoch 221 | Train Loss: 1.041 | Train Acc: 76.873%
Epoch 222 | Train Loss: 1.054 | Train Acc: 76.360%
Epoch 223 | Train Loss: 1.059 | Train Acc: 76.062%
Epoch 224 | Train Loss: 1.031 | Train Acc: 77.292%
Epoch 225 | Train Loss: 1.058 | Train Acc: 76.160%
Epoch 226 | Train Loss: 1.043 | Train Acc: 76.657%
Epoch 227 | Train Loss: 1.052 | Train Acc: 76.388%
Epoch 228 | Train Loss: 1.033 | Train Acc: 77.133%
Epoch 229 | Train Loss: 1.016 | Train Acc: 78.037%
Epoch 230 | Train Loss: 1.095 | Train Acc: 74.435%
Epoch 231 | Train Loss: 1.027 | Train Acc: 77.632%
Epoch 232 | Train Loss: 1.027 | Train Acc: 77.494%
Epoch 233 | Train Loss: 1.027 | Train Acc: 77.410%
Epoch 234 | Train Loss: 1.040 | Train Acc: 76.981%
Epoch 235 | Train Loss: 1.035 | Train Acc: 77.169%
Epoch 236 | Train Loss: 1.006 | Train Acc: 78.221%
Epoch 237 | Train Loss: 1.032 | Train Acc: 77.218%
Epoch 238 | Train Loss: 0.991 | Train Acc: 79.137%
Epoch 239 | Train Loss: 0.974 | Train Acc: 79.692%
Epoch 240 | Train Loss: 1.044 | Train Acc: 76.733%
Epoch 241 | Train Loss: 0.999 | Train Acc: 78.648%
Epoch 242 | Train Loss: 1.034 | Train Acc: 77.282%
Epoch 243 | Train Loss: 1.004 | Train Acc: 78.375%
Epoch 244 | Train Loss: 0.999 | Train Acc: 78.796%
Epoch 245 | Train Loss: 1.003 | Train Acc: 78.478%
Epoch 246 | Train Loss: 1.003 | Train Acc: 78.656%
Epoch 247 | Train Loss: 1.002 | Train Acc: 78.548%
Epoch 248 | Train Loss: 1.012 | Train Acc: 78.119%
Epoch 249 | Train Loss: 1.061 | Train Acc: 76.066%
Epoch 250 | Train Loss: 1.027 | Train Acc: 77.480%
Epoch 251 | Train Loss: 1.035 | Train Acc: 77.037%
Epoch 252 | Train Loss: 0.992 | Train Acc: 78.930%
Epoch 253 | Train Loss: 1.024 | Train Acc: 77.752%
Epoch 254 | Train Loss: 0.985 | Train Acc: 79.349%
Epoch 255 | Train Loss: 0.987 | Train Acc: 79.179%
Epoch 256 | Train Loss: 0.979 | Train Acc: 79.441%
Epoch 257 | Train Loss: 1.002 | Train Acc: 78.496%
Epoch 258 | Train Loss: 0.989 | Train Acc: 78.894%
Epoch 259 | Train Loss: 0.989 | Train Acc: 79.175%
Epoch 260 | Train Loss: 0.973 | Train Acc: 79.876%
Epoch 261 | Train Loss: 0.985 | Train Acc: 79.599%
Epoch 262 | Train Loss: 1.003 | Train Acc: 78.596%
Epoch 263 | Train Loss: 1.008 | Train Acc: 78.458%
Epoch 264 | Train Loss: 1.010 | Train Acc: 78.253%
Epoch 265 | Train Loss: 1.029 | Train Acc: 77.428%
Epoch 266 | Train Loss: 1.027 | Train Acc: 77.390%
Epoch 267 | Train Loss: 0.996 | Train Acc: 78.878%
Epoch 268 | Train Loss: 0.984 | Train Acc: 79.453%
