
===== block_0 =====
c,freq_fgconv_scalar,freq_fgconv_grad,gate_fgconv,gate_fgconv_grad,z_fgconv_energy,z_fgconv_grad_energy,pure_gated_fgconv_energy,pure_gated_fgconv_grad_energy,y_fgconv_energy,y_fgconv_grad_energy
18,0.573906,-0.000953,0.616986,0.003397,1.560620,0.000008,0.962880,0.000010,1.263407,0.000010
19,0.628480,0.001508,0.999354,-0.000176,2.049255,0.000008,2.047931,0.000007,2.442554,0.000007
20,0.501481,0.001980,0.174211,0.011788,2.254901,0.000004,0.392829,0.000012,0.827052,0.000012
21,0.822116,-0.000835,0.913769,-0.001021,2.203853,0.000009,2.013813,0.000008,2.438206,0.000008
22,0.696640,0.000682,0.593944,0.000971,3.743552,0.000007,2.223460,0.000008,2.944350,0.000008
23,0.648446,-0.002973,0.807700,-0.002433,2.528818,0.000006,2.042525,0.000006,2.529496,0.000006
24,0.500563,-0.001262,0.931834,0.001309,2.107306,0.000006,1.963659,0.000006,2.369460,0.000006
25,0.571397,0.000819,0.464031,0.014620,1.426484,0.000010,0.661933,0.000015,0.936629,0.000015
26,0.734290,0.002472,0.561365,0.002760,1.788774,0.000010,1.004154,0.000013,1.348616,0.000013
27,0.607142,-0.000022,0.993483,-0.000516,2.463708,0.000007,2.447651,0.000006,2.922083,0.000006
28,0.685783,0.000278,0.999485,0.001987,1.956102,0.000007,1.955096,0.000006,2.331780,0.000006
29,0.646511,0.000616,0.823415,0.003277,1.692836,0.000009,1.393906,0.000009,1.719893,0.000009
30,0.983742,0.002633,0.650006,-0.001554,4.547806,0.000005,2.956100,0.000006,3.831865,0.000006
31,0.564241,0.002507,0.494602,0.005202,2.717420,0.000008,1.344042,0.000011,1.867332,0.000011
32,0.563595,0.000848,0.996192,0.003529,2.164325,0.000007,2.156083,0.000005,2.572864,0.000005
33,0.656088,-0.001328,0.341419,0.003105,1.926133,0.000007,0.657619,0.000013,1.028532,0.000013
34,0.770732,0.000707,0.493447,0.002516,1.797417,0.000007,0.886930,0.000011,1.233056,0.000011
35,0.504973,0.000170,0.996562,0.002351,2.098727,0.000007,2.091511,0.000006,2.495660,0.000006
36,0.405449,0.000132,0.368942,0.008252,2.665146,0.000008,0.983285,0.000014,1.496508,0.000014
37,0.542736,0.000275,0.860768,-0.004574,1.863147,0.000013,1.603737,0.000013,1.962521,0.000013
