
===== faf =====
c,x_late_energy,x_late_grad_energy,x_early_energy,x_early_grad_energy,attn_faf_1,attn_faf_1_grad,attn_faf_2,attn_faf_2_grad,pure_gated_early_energy,pure_gated_early_grad_energy,pure_gated_late_energy,pure_gated_late_grad_energy,y_faf_energy,y_faf_grad_energy
181,0.168766,0.000111,0.053961,0.000024,0.256698,-0.000843,0.190626,-0.003427,0.013852,0.000093,0.032171,0.000100,0.201092,0.000093
182,0.162261,0.000374,0.074863,0.000258,0.831018,0.006033,0.194315,0.010346,0.062212,0.000312,0.031530,0.000333,0.187142,0.000312
183,0.364111,0.000054,0.039533,0.000024,0.419653,0.000215,0.053283,0.007352,0.016590,0.000051,0.019401,0.000054,0.386057,0.000051
184,0.245602,0.000008,0.004024,0.000001,0.555766,0.000000,0.185348,0.000048,0.002236,0.000001,0.045522,0.000001,0.294376,0.000001
185,0.388692,0.000077,0.153921,0.000014,0.221232,0.001482,0.279129,0.010647,0.034052,0.000059,0.108495,0.000063,0.509775,0.000059
186,0.407882,0.000028,0.089308,0.000011,0.697358,0.000089,0.796405,0.002655,0.062280,0.000015,0.324839,0.000016,0.767602,0.000015
187,0.233080,0.000049,0.007410,0.000032,0.706828,-0.000053,0.096862,0.003981,0.005238,0.000045,0.022577,0.000048,0.257433,0.000045
188,0.186864,0.000030,0.034221,0.000018,0.669725,0.000073,0.429164,0.001157,0.022919,0.000021,0.080196,0.000022,0.267615,0.000021
189,0.259613,0.000158,0.093435,0.000083,0.946459,0.001803,0.750200,0.008425,0.088433,0.000088,0.194762,0.000095,0.496173,0.000088
190,0.237512,0.000003,0.236707,0.000024,0.962736,0.000022,0.614396,0.000016,0.227887,0.000000,0.145927,0.000000,0.465291,0.000000
191,0.161648,0.000066,0.187367,0.000040,0.803582,0.002440,0.426338,0.002069,0.150565,0.000046,0.068917,0.000049,0.314936,0.000046
